번호,발령일시,발령원,발령구분,재난종류,지역
54,2019-10-02 20:23,DMB인터페이스,DMB,홍수 주의보,"김천시,구미시"
55,2019-10-02 20:24,DMB인터페이스,DMB,태풍 경보,"포항시,경주시,울산광역시,영덕군,울진군"
56,2019-10-02 20:24,DMB인터페이스,DMB,태풍 경보,"중구,창원시,서구,동구,영도구,구미시,남구,영주시,영천시,대구광역시,해운대구,상주시,사하구,문경시,경산시,강서구,군위군,의성군,사천시,청송군,수영구,영양군,남해군,하동군,기장군,청도군,칠곡군,예천군,거제시,봉화군,고성군,울진군,통영시,안동시"
57,2019-10-02 18:03,DMB인터페이스,DMB,태풍 경보,"창원시,김천시,김해시,밀양시,함안군,창녕군,양산시,진주시,사천시,부산광역시,의령군,남해군,하동군,산청군,고령군,함양군,성주군,거창군,합천군,거제시,고성군,통영시"
58,2019-10-02 17:29,DMB인터페이스,DMB,호우 경보,"김천시,고령군,성주군"
59,2019-10-02 16:53,DMB인터페이스,DMB,호우 경보,"진주시,의령군,거제시,고성군,통영시"
60,2019-10-02 15:03,DMB인터페이스,DMB,호우 경보,"영덕군,울진군"
61,2019-10-02 14:31,DMB인터페이스,DMB,호우 경보,"사천시,남해군,하동군,산청군,함양군"
62,2019-10-02 10:31,DMB인터페이스,DMB,호우 경보,"포항시,경주시"
63,2019-10-02 9:58,DMB인터페이스,DMB,태풍 경보,"목포시,여수시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,광주광역시,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,순천시"
64,2019-10-02 8:58,DMB인터페이스,DMB,호우 경보,"고흥군,보성군,장흥군"
65,2019-10-02 8:04,DMB인터페이스,DMB,호우 경보,"목포시,강진군,해남군,영암군,무안군,완도군,진도군,신안군"
66,2019-10-02 5:06,DMB인터페이스,DMB,태풍 경보,제주특별자치도
67,2019-10-02 2:14,DMB인터페이스,DMB,호우 경보,제주특별자치도
68,2019-10-01 13:06,DMB인터페이스,DMB,호우 경보,"함평군,영광군"
69,2019-10-01 12:36,DMB인터페이스,DMB,호우 경보,신안군
70,2019-10-01 11:31,DMB인터페이스,DMB,호우 경보,무안군
71,2019-10-01 11:09,DMB인터페이스,DMB,호우 경보,해남군
72,2019-10-01 7:54,DMB인터페이스,DMB,호우 경보,고흥군
73,2019-10-01 4:18,DMB인터페이스,DMB,호우 경보,제주특별자치도
74,2019-09-30 19:05,DMB인터페이스,DMB,호우 경보,제주특별자치도
75,2019-09-29 13:43,DMB인터페이스,DMB,호우 경보,제주특별자치도
76,2019-09-27 13:45,DMB인터페이스,DMB,호우 경보,제주특별자치도
77,2019-09-22 16:00,DMB인터페이스,DMB,태풍 경보,"강릉시,동해시,삼척시,울릉군"
78,2019-09-22 16:00,DMB인터페이스,DMB,태풍 경보,"강릉시,동해시,태백시,삼척시,홍천군,평창군,정선군"
79,2019-09-22 14:56,DMB인터페이스,DMB,태풍 경보,"영주시,영양군,봉화군,울진군"
80,2019-09-22 14:30,DMB인터페이스,DMB,홍수 주의보,"정읍시,김제시,부안군"
81,2019-09-22 13:06,DMB인터페이스,DMB,홍수 주의보,"김천시,구미시"
82,2019-09-22 12:00,DMB인터페이스,DMB,태풍 경보,"상주시,문경시,의성군,영양군,예천군,안동시"
83,2019-09-22 4:09,DMB인터페이스,DMB,태풍 경보,"목포시,나주시,담양군,곡성군,구례군,화순군,광주광역시,해남군,영암군,무안군,함평군,영광군,장성군,진도군,신안군"
84,2019-09-22 4:08,DMB인터페이스,DMB,태풍 경보,"창원시,여수시,광양시,김해시,고흥군,보성군,장흥군,강진군,진주시,해남군,사천시,부산광역시,남해군,하동군,산청군,완도군,진도군,거제시,고성군,순천시,통영시"
85,2019-09-21 23:05,DMB인터페이스,DMB,태풍 경보,제주특별자치도
86,2019-09-21 19:06,DMB인터페이스,DMB,풍랑 경보,"여수시,광양시,고흥군,보성군,장흥군,강진군,해남군,완도군,순천시"
87,2019-09-21 19:05,DMB인터페이스,DMB,강풍 경보,"광양시,고흥군,보성군,장흥군,강진군,해남군,완도군,순천시"
88,2019-09-21 17:20,DMB인터페이스,DMB,강풍 경보,여수시
89,2019-09-21 14:04,DMB인터페이스,DMB,호우 경보,제주특별자치도
90,2019-09-21 8:57,DMB인터페이스,DMB,강풍 경보,제주특별자치도
91,2019-09-21 7:29,DMB인터페이스,DMB,풍랑 경보,"제주시,서귀포시"
92,2019-09-10 23:00,DMB인터페이스,DMB,호우 경보,"여주군,가평군,양평군"
93,2019-09-10 22:02,DMB인터페이스,DMB,호우 경보,"수원시,성남시,의정부시,안양시,광명시,평택시,안산시,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,이천시,안성시,화성시,광주시"
94,2019-09-10 21:30,DMB인터페이스,DMB,호우 경보,"서울특별시,부천시"
95,2019-09-10 20:04,DMB인터페이스,DMB,호우 경보,옹진군
96,2019-09-10 18:36,DMB인터페이스,DMB,호우 경보,"동두천시,양주시,연천군,포천시"
97,2019-09-10 17:48,DMB인터페이스,DMB,호우 경보,"중구,동구,연수구,남동구,부평구,계양구,서구,강화군,고양시,파주시,김포시"
