번호,발령일시,발령원,발령구분,재난종류,지역
147,2019-08-13 8:17,DMB인터페이스,DMB,폭염경보,"서울특별시,수원시,전주시,익산시,성남시,밀양시,함안군,완주군,창녕군,사천시,임실군,합천군,고양시,구리시,남양주시,오산시,의왕시,하남시,용인시,이천시,안성시,여주군,광주시,가평군,양평군"
148,2019-08-13 8:17,DMB인터페이스,DMB,폭염경보,"정읍시,순창군"
149,2019-08-13 8:18,DMB인터페이스,DMB,폭염경보,"춘천시,원주시,홍천군,횡성군,화천군"
150,2019-08-12 10:56,DMB인터페이스,DMB,폭염경보,"경주시,영천시,경산시,청도군"
151,2019-08-11 9:15,DMB인터페이스,DMB,호우 경보,제주특별자치도
152,2019-08-10 19:35,DMB인터페이스,DMB,풍랑 경보,"제주시,서귀포시"
153,2019-08-09 11:11,DMB인터페이스,DMB,폭염경보,"춘천시,중구,원주시,동구,연수구,제천시,남동구,부평구,서산시,계양구,홍천군,서구,횡성군,강화군,계룡시,의정부시,영월군,정선군,음성군,서천군,부천시,화천군,태안군,양구군,당진군,홍성군,동두천시,안산시,시흥시,파주시,김포시,양주시,연천군,포천시"
154,2019-08-09 8:04,DMB인터페이스,DMB,폭염경보,"충주시,보은군,김해시,옥천군,영동군,함안군,진천군,창녕군,괴산군,진주시,사천시,단양군,의령군,증평군,하동군,산청군,함양군,합천군"
155,2019-08-08 18:02,DMB인터페이스,DMB,호우 경보,세종특별자치시
156,2019-08-08 14:06,DMB인터페이스,DMB,폭염경보,"서울특별시,수원시,성남시,안양시,광명시,고양시,과천시,구리시,남양주시,오산시,군포시,의왕시,하남시,용인시,이천시,여주군,화성시,광주시,가평군,양평군"
157,2019-08-08 12:01,DMB인터페이스,DMB,폭염경보,"강릉시,동해시,속초시,삼척시,정선군,부산광역시,고성군,양양군"
158,2019-08-08 9:32,DMB인터페이스,DMB,폭염경보,"천안시,전주시,청주시,포항시,경주시,공주시,광양시,익산시,대전광역시,보령시,김천시,구미시,곡성군,아산시,정읍시,세종특별자치시,남원시,영천시,논산시,김제시,밀양시,대구광역시,완주군,상주시,문경시,금산군,경산시,양산시,부여군,군위군,청양군,의성군,임실군,예산군,함평군,영덕군,부안군,청도군,고령군,성주군,평택시,칠곡군,예천군,울진군,안동시,안성시"
159,2019-08-07 11:01,DMB인터페이스,DMB,폭염경보,"나주시,광주광역시"
160,2019-08-07 3:01,DMB인터페이스,DMB,호우 경보,"속초시,양구군,인제군,고성군,양양군"
161,2019-08-07 2:36,DMB인터페이스,DMB,호우 경보,"강릉시,홍천군,평창군"
162,2019-08-07 0:24,DMB인터페이스,DMB,호우 경보,"동해시,삼척시,정선군,영양군,봉화군,울진군"
163,2019-08-04 11:00,DMB인터페이스,DMB,폭염경보,강화군
164,2019-08-03 15:01,DMB인터페이스,DMB,폭염경보,"보령시,속초시,서산시,평창군,철원군,태안군,양구군,인제군,고성군,당진군,양양군"
165,2019-08-03 10:00,DMB인터페이스,DMB,폭염경보,"중구,동구,연수구,남동구,부평구,계양구,서구,김제시,부안군,동두천시,안산시,파주시,김포시,연천군"
