기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,"유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",32,중국,"66,142.70","108,313.60","922,218","417,643","504,575"
2020,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",33,일본,"33,253.80","7,151.40","597,525","194,280","403,246"
2020,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",33,중국,"165,968.60","14,339.30","3,422,638","106,658","3,315,979"
2020,비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품,34,일본,"43,364.20","41,475.50","85,650","260,121","-174,471"
2020,비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품,34,중국,"106,571.10","65,225.00","358,330","131,918","226,412"
2020,"단백질계 물질, 변성전분, 글루(glue), 효소",35,일본,"1,608.20","6,010.90","14,921","168,247","-153,327"
2020,"단백질계 물질, 변성전분, 글루(glue), 효소",35,중국,"14,663.20","26,060.60","223,699","114,968","108,731"
2020,"화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",36,일본,171.8,187.3,967,"3,593","-2,627"
2020,"화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",36,중국,50.4,"1,955.90",101,"8,335","-8,234"
2020,사진용이나 영화용 재료,37,일본,772.2,"4,574.10","30,099","637,106","-607,007"
2020,사진용이나 영화용 재료,37,중국,"11,405.70","23,364.00","636,485","125,956","510,529"
2020,각종 화학공업 생산품,38,일본,"59,205.80","99,310.60","350,075","1,959,197","-1,609,122"
2020,각종 화학공업 생산품,38,중국,"218,085.30","1,132,820.40","1,161,524","1,328,418","-166,894"
2020,플라스틱과 그 제품,39,일본,"461,938.20","273,628.50","1,359,842","3,001,443","-1,641,601"
2020,플라스틱과 그 제품,39,중국,"5,630,218.70","938,248.10","9,623,071","2,848,672","6,774,399"
2020,고무와 그 제품,40,일본,"58,473.00","43,798.20","155,709","270,009","-114,300"
2020,고무와 그 제품,40,중국,"373,849.20","157,435.10","683,886","433,889","249,997"
2020,원피(모피는 제외한다)와 가죽,41,일본,"7,525.00","4,010.10","3,732","3,801",-69
2020,원피(모피는 제외한다)와 가죽,41,중국,"8,715.40","1,247.80","48,115","12,714","35,401"
2020,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",42,일본,691.7,249.6,"39,986","17,888","22,098"
2020,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",42,중국,788.6,"54,517.00","48,385","686,187","-637,802"
2020,모피ㆍ인조모피와 이들의 제품,43,일본,5.9,3.3,286,20,266
2020,모피ㆍ인조모피와 이들의 제품,43,중국,84.2,824.6,"1,790","37,010","-35,219"
2020,"목재와 그 제품, 목탄",44,일본,"18,185.50","105,857.10","19,948","30,139","-10,191"
2020,"목재와 그 제품, 목탄",44,중국,"7,752.10","269,259.90","10,718","367,308","-356,590"
2020,코르크(cork)와 그 제품,45,일본,0.2,7.9,20,145,-126
2020,코르크(cork)와 그 제품,45,중국,6.6,218.2,55,"1,235","-1,179"
2020,"짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",46,일본,0.3,1.3,68,49,19
2020,"짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",46,중국,4.9,"4,474.90",40,"15,921","-15,881"
2020,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",47,일본,"10,406.50","253,645.90","4,692","49,135","-44,443"
2020,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",47,중국,"194,255.50","18,166.10","57,497","25,518","31,979"
