기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201901,3120,1,11,90900000,20191017,2019-10-18 5:55
201901,3130,1,18,113600000,20191017,2019-10-18 5:55
201901,3130,2,23,203700000,20191017,2019-10-18 5:55
201901,3140,1,11,65400000,20191017,2019-10-18 5:55
201901,3140,2,5,16800000,20191017,2019-10-18 5:55
201901,3150,1,6,53900000,20191017,2019-10-18 5:55
201901,4000,1,2,13200000,20191017,2019-10-18 5:55
201901,4000,2,10,50000000,20191017,2019-10-18 5:55
201901,4001,1,9,67300000,20191017,2019-10-18 5:55
201901,4001,2,4,33200000,20191017,2019-10-18 5:55
201901,4020,1,15,133300000,20191017,2019-10-18 5:55
201901,4020,2,1,5600000,20191017,2019-10-18 5:55
201901,4030,1,16,67200000,20191017,2019-10-18 5:55
201901,4110,1,15,125900000,20191017,2019-10-18 5:55
201901,4110,2,1,10000000,20191017,2019-10-18 5:55
201901,4120,1,8,54400000,20191017,2019-10-18 5:55
201901,4120,2,8,48100000,20191017,2019-10-18 5:55
201901,4130,1,4,29700000,20191017,2019-10-18 5:55
201901,4130,2,7,24400000,20191017,2019-10-18 5:55
201901,4140,1,3,10600000,20191017,2019-10-18 5:55
201901,5000,1,43,320300000,20191017,2019-10-18 5:55
201901,5000,2,19,119700000,20191017,2019-10-18 5:55
201901,5010,1,21,155900000,20191017,2019-10-18 5:55
201901,5010,2,7,36200000,20191017,2019-10-18 5:55
201901,5110,1,24,175600000,20191017,2019-10-18 5:55
201901,5110,2,7,41900000,20191017,2019-10-18 5:55
201901,5120,1,22,149000000,20191017,2019-10-18 5:55
201901,5120,2,6,48700000,20191017,2019-10-18 5:55
201901,5130,1,14,98000000,20191017,2019-10-18 5:55
201901,5130,2,1,7000000,20191017,2019-10-18 5:55
201901,5140,1,30,253800000,20191017,2019-10-18 5:55
201901,5140,2,18,83700000,20191017,2019-10-18 5:55
201901,5160,1,40,287800000,20191017,2019-10-18 5:55
201901,5160,2,7,59400000,20191017,2019-10-18 5:55
201901,5170,1,12,78500000,20191017,2019-10-18 5:55
201901,5170,2,1,6000000,20191017,2019-10-18 5:55
201901,5180,1,27,247700000,20191017,2019-10-18 5:55
201901,5180,2,2,4100000,20191017,2019-10-18 5:55
201901,5190,1,6,46200000,20191017,2019-10-18 5:55
201901,5190,2,2,9900000,20191017,2019-10-18 5:55
201901,5210,1,4,18900000,20191017,2019-10-18 5:55
201901,5210,2,2,8500000,20191017,2019-10-18 5:55
201901,6000,1,27,242700000,20191017,2019-10-18 5:55
201901,6000,2,6,56800000,20191017,2019-10-18 5:55
201901,6001,1,19,132300000,20191017,2019-10-18 5:55
201901,6001,2,1,10000000,20191017,2019-10-18 5:55
201901,6110,1,20,141100000,20191017,2019-10-18 5:55
201901,6110,2,17,110200000,20191017,2019-10-18 5:55
201901,6120,1,8,78000000,20191017,2019-10-18 5:55
201901,6120,2,2,14000000,20191017,2019-10-18 5:55
201901,6130,1,13,110200000,20191017,2019-10-18 5:55
201901,6130,2,3,36700000,20191017,2019-10-18 5:55
201901,6210,1,5,41300000,20191017,2019-10-18 5:55
201901,6220,1,5,51500000,20191017,2019-10-18 5:55
201901,6230,1,14,128200000,20191017,2019-10-18 5:55
201901,6230,2,15,99700000,20191017,2019-10-18 5:55
201901,6310,1,11,94900000,20191017,2019-10-18 5:55
201901,6310,2,5,31800000,20191017,2019-10-18 5:55
201901,7000,1,21,146500000,20191017,2019-10-18 5:55
201901,7000,2,5,34800000,20191017,2019-10-18 5:55
201901,7001,1,10,49700000,20191017,2019-10-18 5:55
201901,7001,2,1,10000000,20191017,2019-10-18 5:55
201901,7110,1,24,157400000,20191017,2019-10-18 5:55
201901,7110,2,3,21600000,20191017,2019-10-18 5:55
201901,7120,1,3,37000000,20191017,2019-10-18 5:55
